frame,class_id,class_name,confidence,x1,y1,x2,y2
155,5,speedboat,0.8675,784.6,379.1,924.6,445.1
156,5,speedboat,0.8524,786.1,378.7,926.7,443.9
157,5,speedboat,0.852,786.2,378.5,926.8,443.7
158,5,speedboat,0.8547,788.0,377.5,927.4,443.7
159,5,speedboat,0.8463,789.2,377.6,928.1,442.5
160,5,speedboat,0.851,789.5,379.1,928.6,443.1
161,5,speedboat,0.846,792.5,377.4,932.4,443.6
162,5,speedboat,0.8463,792.5,377.4,932.4,443.6
163,5,speedboat,0.8681,794.5,378.5,933.8,445.3
165,5,speedboat,0.8619,795.9,379.7,937.8,444.3
166,5,speedboat,0.8808,798.7,377.4,940.4,445.6
167,5,speedboat,0.8808,798.7,377.5,940.4,445.5
168,5,speedboat,0.8796,800.4,377.6,939.5,444.0
169,5,speedboat,0.8688,802.0,377.9,941.3,444.4
170,5,speedboat,0.8763,802.3,376.8,940.8,444.4
171,5,speedboat,0.8734,805.8,377.9,942.6,445.2
172,5,speedboat,0.8736,805.8,378.0,942.5,445.2
173,5,speedboat,0.872,807.1,376.5,944.4,445.2
174,5,speedboat,0.8692,808.1,376.8,948.6,445.3
175,5,speedboat,0.8664,810.9,376.2,949.7,444.7
176,5,speedboat,0.8614,811.8,376.1,950.8,444.4
177,5,speedboat,0.8614,811.8,376.1,950.8,444.4
178,5,speedboat,0.8542,813.1,375.2,950.5,442.7
179,5,speedboat,0.865,813.4,378.2,952.4,444.3
180,5,speedboat,0.8565,817.0,377.1,955.3,444.5
181,5,speedboat,0.8606,818.0,377.2,958.9,445.5
182,5,speedboat,0.8606,818.0,377.2,958.9,445.5
183,5,speedboat,0.8443,819.4,378.7,958.8,444.6
186,5,speedboat,0.8714,823.2,377.8,964.8,444.4
187,5,speedboat,0.8709,823.2,377.8,964.8,444.4
188,5,speedboat,0.8484,823.8,377.2,964.7,444.5
189,5,speedboat,0.8577,827.0,376.1,966.8,444.4
190,5,speedboat,0.8603,829.3,376.8,969.8,444.6
191,5,speedboat,0.8643,830.5,376.3,972.0,444.5
192,5,speedboat,0.8643,830.5,376.3,972.0,444.5
193,5,speedboat,0.8664,833.1,377.6,972.4,444.5
194,5,speedboat,0.8575,836.6,376.9,976.8,443.8
195,5,speedboat,0.8628,837.4,377.2,976.8,443.2
196,5,speedboat,0.8606,838.3,377.2,977.2,443.7
197,5,speedboat,0.8606,838.3,377.1,977.2,443.7
198,5,speedboat,0.8648,839.4,376.5,980.8,443.1
199,5,speedboat,0.867,843.1,375.5,984.3,445.3
200,5,speedboat,0.8671,843.1,374.9,984.9,443.7
201,5,speedboat,0.8836,843.7,373.9,985.8,444.2
202,5,speedboat,0.8835,843.6,373.9,985.8,444.2
203,5,speedboat,0.8694,845.9,373.3,985.9,444.2
204,5,speedboat,0.8697,846.2,373.3,987.9,443.8
205,5,speedboat,0.8695,848.3,374.0,988.1,444.6
206,5,speedboat,0.8724,849.6,374.1,990.7,443.6
207,5,speedboat,0.8725,849.6,374.1,990.7,443.6
208,5,speedboat,0.8739,853.0,374.0,993.4,444.1
209,5,speedboat,0.8702,855.2,374.5,996.4,444.6
210,5,speedboat,0.8757,857.3,374.0,997.1,442.8
211,5,speedboat,0.8723,859.8,373.9,999.5,442.3
212,5,speedboat,0.8723,859.8,373.9,999.5,442.3
213,5,speedboat,0.87,861.5,374.4,998.9,442.7
214,5,speedboat,0.8724,861.6,373.9,1001.1,442.2
215,5,speedboat,0.8695,866.4,373.0,1007.7,442.9
216,5,speedboat,0.8796,867.6,374.0,1008.1,442.3
217,5,speedboat,0.8795,867.6,374.0,1008.0,442.3
218,5,speedboat,0.8834,868.3,373.3,1009.7,442.1
219,5,speedboat,0.8749,870.8,373.9,1010.6,441.3
220,5,speedboat,0.8692,871.2,373.8,1013.1,442.4
221,5,speedboat,0.8787,871.8,373.3,1012.9,441.8
222,5,speedboat,0.8788,871.8,373.3,1012.9,441.8
223,5,speedboat,0.8654,875.3,372.4,1016.6,442.3
224,5,speedboat,0.8726,877.3,371.4,1020.8,443.2
225,5,speedboat,0.8625,881.1,371.2,1023.2,442.1
226,5,speedboat,0.8634,881.9,371.9,1023.1,442.5
